Date,Open,High,Low,Close,Volume
2019-04-15,1224.09,1229.3,1214.56,1226.53,1189974
2019-04-12,1215.62,1223.05,1213.29,1222.73,1215610
2019-04-11,1208.9,1212.74,1204.54,1209.59,849947
2019-04-10,1205.09,1208.94,1200.66,1206.45,775456
2019-04-09,1201.89,1207.15,1198.38,1202.69,983840
2019-04-08,1211.11,1213.95,1204.7,1208.28,1087588
2019-04-05,1219.3,1220.39,1210.03,1211.45,1001044
2019-04-04,1211.29,1220.55,1209.04,1219.45,1051089
2019-04-03,1212.7,1220.6,1205.08,1210.81,1109614
2019-04-02,1200.05,1205.81,1191.24,1205.54,914413
2019-04-01,1187.54,1200.2,1186.36,1198.98,1385595
2019-03-29,1180.18,1183.97,1166.38,1176.89,1544615
2019-03-28,1175.5,1177.25,1163.43,1172.27,1120122
2019-03-27,1191.92,1191.92,1164.23,1178.01,1471402
2019-03-26,1205.19,1207.65,1181.76,1189.84,1537606
2019-03-25,1199.56,1209.44,1190.0,1197.38,1378849
2019-03-22,1228.85,1233.63,1206.0,1207.65,1721133
2019-03-21,1220.0,1236.44,1216.58,1236.13,1407480
2019-03-20,1201.4,1229.99,1199.59,1226.43,2075442
2019-03-19,1191.72,1203.41,1189.46,1202.46,1489407
2019-03-18,1189.69,1194.95,1181.48,1188.55,1222203
2019-03-15,1198.0,1201.73,1187.01,1190.3,2593338
2019-03-14,1199.02,1204.7,1191.23,1192.53,1365072
2019-03-13,1205.93,1207.12,1197.91,1199.06,1294354
2019-03-12,1182.3,1205.71,1182.3,1197.25,2110979
2019-03-11,1152.0,1179.91,1151.57,1179.26,1501633
2019-03-08,1133.9,1153.45,1130.2,1149.97,1184732
2019-03-07,1160.5,1163.58,1141.72,1150.85,1504328
2019-03-06,1171.76,1174.74,1163.05,1164.94,1180052
2019-03-05,1156.0,1176.49,1153.02,1169.19,2004723
2019-03-04,1154.56,1165.52,1138.25,1153.42,1774467
2019-03-01,1131.0,1150.0,1131.0,1148.52,1704258
2019-02-28,1119.0,1133.99,1118.41,1126.55,1371355
2019-02-27,1114.01,1125.73,1108.56,1122.89,1104881
2019-02-26,1114.37,1126.44,1106.7,1122.01,1751261
2019-02-25,1121.93,1125.4,1114.11,1117.33,1310362
2019-02-22,1109.7,1117.25,1100.5,1116.56,1471783
2019-02-21,1118.78,1119.15,1097.98,1104.21,1663980
2019-02-20,1128.88,1130.93,1111.75,1120.59,1204533
2019-02-19,1116.64,1129.64,1116.64,1126.51,1099259
2019-02-15,1139.3,1139.3,1116.72,1119.63,1391348
2019-02-14,1125.0,1136.13,1117.09,1129.2,1055297
2019-02-13,1133.04,1142.85,1126.0,1128.63,1402087
2019-02-12,1111.01,1132.86,1111.01,1127.58,1751771
2019-02-11,1103.75,1113.43,1100.0,1102.12,924881
2019-02-08,1094.88,1105.1,1094.24,1102.38,1088327
2019-02-07,1111.82,1111.99,1093.59,1105.91,1914877
2019-02-06,1149.27,1154.0,1118.36,1122.89,2412820
2019-02-05,1129.63,1152.77,1123.6,1151.87,4114790
2019-02-04,1119.01,1142.34,1117.51,1141.42,3920591
2019-02-01,1122.29,1134.4,1114.25,1118.62,1655813
2019-01-31,1112.24,1127.67,1105.25,1125.89,2011572
2019-01-30,1077.36,1099.52,1076.64,1097.99,1472647
2019-01-29,1081.04,1084.73,1066.02,1070.06,985248
2019-01-28,1090.07,1093.37,1074.61,1079.86,1466714
2019-01-25,1094.23,1103.36,1091.8,1101.51,1163788
